"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Магазин","","Каталог товаров","0","0","1","0","0"
"Магазин","Корзина","Полный сценарий работы с корзиной","0","0","1","0","0"
"Магазин","Корзина","Добавление товара","0","0","1","0","0"
