"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 06 09:53:43 GMT 2025","Wed Aug 06 09:53:43 GMT 2025","177","","API Тесты","","ApiTests","GetAllProducts_ReturnsOkStatusAndCorrectNumberOfItems","GetAllProducts_ReturnsOkStatusAndCorrectNumberOfItems","Тест проверяет, что API возвращает корректный список товаров."
"passed","Wed Aug 06 09:53:51 GMT 2025","Wed Aug 06 09:53:53 GMT 2025","2038","","UI Тесты","","ShoppingCartTests","Cart_FullWorkflow_CalculatesTotalCorrectly","Cart_FullWorkflow_CalculatesTotalCorrectly","Тест проверяет полный цикл: добавление нескольких товаров, проверку суммы и удаление."
"passed","Wed Aug 06 09:53:43 GMT 2025","Wed Aug 06 09:53:51 GMT 2025","8330","","UI Тесты","","ShoppingCartTests","AddToCart_SingleItem_UpdatesCartCounter","AddToCart_SingleItem_UpdatesCartCounter","Тест проверяет, что при добавлении товара в корзину счетчик на иконке обновляется."
